gene,mean_exprs,bs,bs_conf_ul,bs_conf_ll
Edem1,2.211981567,2.251456122,2.89078931,1.76344947
Edem2,1.833333333,6.060195473,9.05168052,3.98551013
Edem3,1.16374269,2.98812263,4.9996641,1.81604842
Eea1,1.939393939,5.661677383,8.19242285,3.81830842
Eed,2.463054187,6.370769799,8.90127817,4.45723738
Eef1b2,16.58181818,95.92264464,145.1088348,64.78365529
Eef1d,9.803652968,9.553630849,11.75309627,7.4063523
Eef1e1,4.604651163,7.4905274,10.28634016,5.25584209
Eef1g,10.87974684,23.4640444,32.34129406,16.941672
Eef2k,1.218181818,2.321857665,2.97322301,1.67664566
Eefsec,1.128571429,5.174217521,11.24879935,2.73040551
Efemp1,12.29411765,31.24389349,39.03450683,25.99520527
Efemp2,33.94196429,20.90000808,24.45429234,18.15584557
Efhd2,2.381818182,3.317655667,3.74455256,2.35973548
Efnb2,1.055555556,1.623759264,2.03258312,1.11343465
Efr3a,1.589861751,3.100273796,4.88972778,2.20401164
Eftud1,1.106976744,1.721569602,3.15231623,1.13531555
Eftud2,5.672727273,7.677734255,10.38666688,5.43904148
Egfr,3.028436019,4.574161422,5.72308458,3.63140553
Egln1,1.706185567,3.409684356,5.08179672,2.44922467
Egln2,1.374407583,2.013176464,3.95880991,1.08203919
Egr1,2.830769231,4.21035356,6.03880028,3.07580258
Ehbp1l1,7.642487047,18.2420231,23.42517312,14.110283
Ehd2,6.901345291,5.73068963,8.79266623,4.54590602
Ehd4,1.628440367,2.405828026,3.00755631,1.76973967
Ehmt1,1.081339713,2.680063251,4.63126198,1.90536233
Ehmt2,1.365591398,2.886390838,3.95153699,2.14576787
Ei24,3.009174312,2.541326905,3.19083247,1.92324477
Eid1,2.567567568,2.604688615,3.24331826,2.03815355
Eif1ad,1.87037037,4.94466535,7.6743417,3.16069791
Eif2a,1.347826087,4.047739168,6.81855003,2.37966882
Eif2b1,2.209302326,2.428149428,3.1219231,1.88937861
Eif2b2,2.578947368,5.023582637,7.86268053,3.06650664
Eif2b3,5.025380711,7.54726699,9.45564676,6.11969647
